代码,名称,最新价,量比,涨跌幅,换手率,总市值,早上价格,当日涨幅
600105,永鼎股份,27.92,178.0,3.56,9.74,408188948.72,27.15,2.8360957642725717
002025,航天电器,63.27,121.0,4.08,9.01,288148022.61,61.27,3.2642402480822583
920414,欧普泰,13.54,206.0,4.15,8.81,10797902.35,13.3,1.804511278195477
000722,湖南发展,14.27,269.0,4.85,8.24,66235386.84,13.92,2.514367816091952
603063,禾望电气,32.87,190.0,3.72,7.47,150654215.53,31.92,2.976190476190463
603396,金辰股份,39.46,210.0,4.01,7.12,54662942.82,38.43,2.680197762164978
002709,天赐材料,43.38,135.0,4.88,6.93,882302170.44,42.37,2.383762095822528
002384,东山精密,116.65,95.0,4.41,6.17,2136570186.08,116.14,0.4391251937317075
603312,西典新能,45.42,130.0,3.46,5.66,72671772.9,44.4,2.2972972972973045
603185,弘元绿能,25.62,265.0,4.87,5.44,175004276.67,25.07,2.1938571998404495
000049,德赛电池,27.9,233.0,3.99,5.36,107314150.99,27.08,3.028064992614477
601012,隆基绿能,19.11,195.0,3.19,5.31,1448168076.07,19.03,0.4203888596952091
002800,天顺股份,23.7,111.0,4.18,5.27,36083976.88,22.85,3.719912472647693
002812,恩捷股份,67.29,128.0,4.07,5.06,660935930.19,66.52,1.1575466025255716
