代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,最高,最低,今开,昨收,总市值
600268,国电南自,14.67,7.63,1.04,134954,193090232.0,8.0,1.34,31.04,1848.0,14.76,13.67,13.67,13.63,149028243.13
003042,中农联合,17.44,6.73,1.1,23711,40349134.0,9.24,1.86,-41.61,2255.0,17.6,16.09,16.12,16.34,24848512.0
600617,国新能源,4.51,6.62,0.28,589867,264148409.0,8.98,3.32,-707.48,1203.0,4.62,4.24,4.26,4.23,87006549.1
600771,广誉远,16.92,6.28,1.0,41934,71022229.0,4.27,0.86,78.74,3801.0,17.34,16.66,16.66,15.92,82821901.06
603288,海天味业,39.27,6.28,2.32,69477,268184103.0,4.9,0.12,32.65,2155.0,39.45,37.64,37.9,36.95,2298011655.51
000695,滨海能源,13.77,6.0,0.78,118648,164850275.0,11.09,5.35,-48.41,3487.0,14.29,12.85,12.93,12.99,31912269.54
605028,世茂能源,29.14,5.85,1.61,15734,45990158.0,11.91,0.98,27.05,2590.0,30.28,27.0,27.18,27.53,46624000.0
603076,乐惠国际,27.05,5.83,1.49,18026,48766937.0,10.37,1.49,72.88,2599.0,27.75,25.1,25.3,25.56,32649713.55
002209,达 意 隆,16.35,5.83,0.9,34715,55667192.0,8.03,2.22,23.64,2275.0,16.57,15.33,15.56,15.45,32541249.68
603272,联翔股份,31.06,5.72,1.68,25488,77323892.0,10.25,2.46,1100.17,1638.0,31.39,28.38,29.21,29.38,32186546.2
000692,惠天热电,5.18,5.71,0.28,459431,244140529.18,7.14,8.62,-6.54,8433.0,5.39,5.04,5.39,4.9,27600748.16
002192,融捷股份,74.94,5.68,4.03,118573,877323882.26,2.81,4.58,69.8,2050.0,75.0,73.01,73.33,70.91,194585609.13
002745,木林森,8.94,5.67,0.48,117951,103200448.4,5.44,1.11,47.57,1869.0,8.96,8.5,8.51,8.46,132684476.07
600722,金牛化工,18.85,5.6,1.0,229619,412893201.0,9.69,3.38,266.96,843.0,18.85,17.12,17.18,17.85,128240258.93
000912,泸天化,5.53,5.53,0.29,259730,140285875.47,8.78,1.66,272.78,1244.0,5.55,5.09,5.09,5.24,86710400.0
600691,潞化科技,3.67,5.46,0.19,423716,154337316.0,9.48,1.78,-17.98,1304.0,3.76,3.43,3.43,3.48,87198537.64
603429,*ST集友,9.36,5.05,0.45,66925,61687918.0,3.93,1.28,-269.66,2739.0,9.36,9.01,9.01,8.91,49091839.52
600470,六国化工,7.09,5.04,0.34,149283,103827697.0,8.0,2.86,-13.38,1196.0,7.21,6.67,6.68,6.75,36981440.0
000989,九芝堂,9.19,5.03,0.44,116353,108244861.0,3.66,1.68,35.34,5489.0,9.48,9.16,9.3,8.75,78661070.9
002199,*ST东晶,8.46,4.96,0.4,15857,13201408.0,4.59,0.65,-39.47,2282.0,8.46,8.09,8.26,8.06,20595223.91
002620,ST瑞和,8.69,4.95,0.41,250710,217704342.65,2.42,7.95,-43.72,10528.0,8.69,8.49,8.69,8.28,32804228.6
002972,科安达,11.94,4.92,0.56,18164,21292182.2,5.27,1.35,33.59,2583.0,11.96,11.36,11.37,11.38,29373450.72
000545,金浦钛业,3.47,4.83,0.16,220913,75416245.0,7.85,2.24,-11.04,1069.0,3.49,3.23,3.26,3.31,34243108.43
600370,三房巷,2.63,4.78,0.12,303052,77338862.0,6.77,0.78,-16.47,513.0,2.64,2.47,2.49,2.51,102482702.86
600831,广电网络,3.98,4.74,0.18,63789,25469547.0,9.74,0.9,-3.52,2225.0,4.17,3.8,3.8,3.8,28295690.28
002445,中南文化,4.23,4.7,0.19,843623,351939465.0,7.18,3.57,91.7,1126.0,4.29,4.0,4.0,4.04,100530498.56
603520,司太立,10.78,4.66,0.48,196216,209106386.0,7.48,4.48,122.97,4198.0,10.97,10.2,10.28,10.3,47260585.17
600299,安迪苏,14.16,4.66,0.63,51810,72199192.0,6.43,0.19,37.77,701.0,14.33,13.46,13.53,13.53,436096742.79
920166,海圣医疗,27.09,4.51,1.17,3296,8759492.92,4.28,1.39,23.77,1632.0,27.11,26.0,26.19,25.92,20397176.57
600784,鲁银投资,7.27,4.45,0.31,33681,24425560.0,6.75,0.5,22.82,1827.0,7.4,6.93,6.96,6.96,49119920.54
600136,ST明诚,2.12,4.43,0.09,580121,122808303.0,5.91,2.99,-503.86,6530.0,2.13,2.01,2.13,2.03,43265509.74
603132,金徽股份,15.88,4.4,0.67,17859,28081921.0,5.46,0.18,28.64,1487.0,16.08,15.25,15.26,15.21,155306400.0
600233,圆通速递,20.87,4.4,0.88,40836,84465212.0,4.45,0.12,18.62,672.0,20.94,20.05,20.05,19.99,714291333.84
601908,京运通,5.25,4.37,0.22,1288245,665963455.0,8.35,5.34,-41.81,2608.0,5.35,4.93,5.03,5.03,126766650.2
605388,均瑶健康,6.68,4.21,0.27,30359,19921410.0,5.62,0.51,-1270.01,1404.0,6.72,6.36,6.43,6.41,40112331.2
601865,福莱特,16.03,4.09,0.63,65048,102630584.0,5.32,0.34,38.3,1107.0,16.12,15.3,15.37,15.4,375563716.42
000593,德龙汇能,15.33,4.07,0.6,35148,52952016.0,5.5,0.98,166.42,708.0,15.41,14.6,14.67,14.73,54978133.68
000908,ST景峰,7.7,4.05,0.3,124641,96004743.0,2.7,1.42,-228.01,1624.0,7.75,7.55,7.75,7.4,135485250.05
002328,新朋股份,6.76,4.0,0.26,92263,62050766.2,9.38,1.62,27.61,827.0,6.93,6.32,6.37,6.5,52171652.0
600714,金瑞矿业,18.67,3.95,0.71,45768,84690481.0,5.96,1.59,88.34,881.0,18.94,17.87,18.01,17.96,53802510.17
000553,安道麦A,6.12,3.9,0.23,42870,26211994.08,7.98,0.2,-25.29,1334.0,6.28,5.81,5.81,5.89,142584480.08
002455,百川股份,13.6,3.82,0.5,353591,473937869.32,4.12,6.81,1261.04,1456.0,13.67,13.13,13.38,13.1,80819145.26
002969,嘉美包装,23.85,3.7,0.85,119887,283942369.27,2.96,1.1,501.77,798.0,23.98,23.3,23.3,23.0,261991226.84
920159,农大科技,42.42,3.69,1.51,3775,15746636.6,6.38,2.62,22.38,782.0,42.8,40.19,40.7,40.91,32239200.0
002468,申通快递,15.46,3.69,0.55,96974,148860321.4,5.5,0.66,23.49,1244.0,15.67,14.85,14.9,14.91,236662014.86
002569,*ST步森,14.47,3.58,0.5,11974,17221122.0,4.51,0.86,-275.89,1295.0,14.6,13.97,14.28,13.97,20838247.0
002039,黔源电力,21.55,3.56,0.74,122577,270975915.4,8.22,2.87,14.02,1953.0,22.82,21.11,22.8,20.81,92138776.15
000890,法尔胜,12.68,3.51,0.43,193858,249571208.37,6.37,4.62,-175.24,1127.0,13.23,12.45,13.09,12.25,53193103.14
603213,镇洋发展,13.97,3.48,0.47,25866,35777230.0,4.15,0.59,91.38,3518.0,14.05,13.49,13.5,13.5,61743537.99
000593,德龙汇能,15.24,3.46,0.51,35278,53150619.0,5.5,0.98,165.44,710.0,15.41,14.6,14.67,14.73,54655365.77
000572,海马汽车,6.3,3.45,0.21,204361,127853051.0,8.21,1.24,-104.4,628.0,6.47,5.97,6.0,6.09,103612094.84
